t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_dtheta
2.2,1.5576304936602408,-13.643848360895234,8.099999999999993,1.2307963267948976,14.464893402476907,0.5373518321381248,,8.099999999999993,0.010000000000000009
2.3000000000000003,1.79984674533465,-12.912937088971756,7.699999999999992,1.250796326794898,13.73247285997259,0.6187867520133212,,7.699999999999992,0.020000000000000007
2.4000000000000004,2.015576496197427,-12.215541451910063,7.299999999999992,1.2707963267948976,13.03776792899897,0.7129738637700451,,7.299999999999992,0.020000000000000007
2.5,2.2128835315197626,-11.554353177806302,6.8999999999999915,1.2807963267948974,12.380710867125382,0.8215738172809218,,6.8999999999999915,0.010000000000000009
2.6,2.386258965367502,-10.927902095168474,6.499999999999991,1.300796326794897,11.764349998259743,0.945736898428863,,6.499999999999991,0.020000000000000007
2.7,2.5430781020217164,-10.338404208506422,6.099999999999991,1.3107963267948968,11.18540459936002,1.0874462629856483,,6.099999999999991,0.010000000000000009
2.8000000000000003,2.684098358796794,-9.786124128131355,5.69999999999999,1.3207963267948966,10.646588552745225,1.2474036753421032,,5.69999999999999,0.010000000000000009
2.9000000000000004,2.815222457201691,-9.272600544624714,5.29999999999999,1.3207963267948966,10.147542039868094,1.4263119600133278,,5.29999999999999,0.0
3.0,2.9316967441509867,-8.79664493694722,4.89999999999999,1.3307963267948963,9.690541695060563,1.6232557185161094,,4.89999999999999,0.010000000000000009
3.1,3.0342866297418216,-8.358495059194803,4.499999999999989,1.3407963267948961,9.272314055638143,1.8380685094074545,,4.499999999999989,0.010000000000000009
3.2,3.1277574143912488,-7.959291837242601,4.099999999999989,1.3407963267948961,8.89220641944472,2.068850489325684,,4.099999999999989,0.0
3.3000000000000003,3.2121090980992686,-7.599035271090614,3.699999999999989,1.3407963267948961,8.551794723546404,2.31110593180227,,3.699999999999989,0.0
3.4000000000000004,3.290550964820223,-7.278493739389445,3.299999999999989,1.3307963267948963,8.250029206576865,2.559920914820893,,3.299999999999989,-0.009999999999999998
3.5,3.3594847264840917,-6.996805726682357,2.8999999999999893,1.3307963267948963,7.987752923470445,2.807570449772627,,2.8999999999999893,0.0
3.6,3.421335716297722,-6.754577621254697,2.4999999999999893,1.3207963267948966,7.761535157712997,3.048335029917231,,2.4999999999999893,-0.009999999999999998
3.7,3.4773493180023762,-6.552185733017861,2.0999999999999894,1.300796326794897,7.571648230416493,3.2730857803925435,,2.0999999999999894,-0.019999999999999997
3.8000000000000003,3.5292092861977613,-6.390289026137291,1.6999999999999895,1.260796326794897,7.417755466404538,3.472724149181256,,1.6999999999999895,-0.04000000000000001
3.9000000000000004,3.5750049365235226,-6.26862243905916,1.2999999999999896,1.2107963267948971,7.300076165585891,3.6377863949340523,,1.2999999999999896,-0.05
4.0,3.61087977604212,-6.186081565005667,0.8999999999999896,1.1607963267948973,7.216390204225625,3.7628081609154473,,0.8999999999999896,-0.05
4.1000000000000005,3.6330771813903957,-6.141278940129392,0.49999999999998956,1.1107963267948975,7.162824714170587,3.8467257960416896,,0.49999999999998956,-0.05
4.2,3.6379589538592243,-6.132551495052935,0.09999999999998954,1.0607963267948977,7.135443702140489,3.8911045249936715,,0.09999999999998954,-0.05
4.3,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
4.4,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
4.5,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
4.6000000000000005,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
4.7,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
4.800000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
4.9,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.0,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.1000000000000005,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.2,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.300000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.4,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.5,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.6000000000000005,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.7,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.800000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
5.9,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.0,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.1000000000000005,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.2,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.300000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.4,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.5,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.6000000000000005,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.7,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.800000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
6.9,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.0,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.1000000000000005,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.2,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.300000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.4,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.5,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.6000000000000005,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.7,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.800000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
7.9,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.0,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.1,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.200000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.3,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.4,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.5,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.6,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.700000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.8,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
8.9,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
9.0,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
9.1,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
9.200000000000001,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
9.3,3.6379589538592243,-6.132551495052935,0.0,1.0607963267948977,7.130423072261595,3.8994291429247574,,0.0,0.0
