t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_dtheta
2.5,2.6342405471233485,-11.900393565906905,6.583333333333329,1.3457963267948925,12.786401814388196,1.2819280230941545,,6.583333333333329,0.015000000000000003
2.6,2.763138251861523,-11.295644450302474,6.183333333333328,1.3607963267948922,12.188461358333429,1.4453446661339964,,6.183333333333328,0.015000000000000003
2.7,2.883697560605853,-10.73001657128701,5.783333333333328,1.3607963267948922,11.628693673261388,1.6265604717623736,,5.783333333333328,0.0
2.8000000000000003,2.9880085452606258,-10.201885909179488,5.3833333333333275,1.3757963267948918,11.110759075829966,1.8247614369820697,,5.3833333333333275,0.015000000000000003
2.9000000000000004,3.0845688685169015,-9.71299715385395,4.983333333333327,1.3757963267948918,10.630459593567227,2.04058841477037,,4.983333333333327,0.0
3.0,3.17337853037468,-9.263350305310395,4.583333333333327,1.3757963267948918,10.191019517957885,2.2715542421357733,,4.583333333333327,0.0
3.1,3.254437530833962,-8.852945363548823,4.1833333333333265,1.3757963267948918,9.79183283026917,2.5151698712208264,,4.1833333333333265,0.0
3.2,3.3277458698947466,-8.481782328569235,3.7833333333333266,1.3757963267948918,9.432179241939863,2.767878331554826,,3.7833333333333266,0.0
3.3000000000000003,3.3933035475570343,-8.149861200371628,3.3833333333333266,1.3757963267948918,9.111230654737641,3.0250454957365425,,3.3833333333333266,0.0
3.4000000000000004,3.4511105638208246,-7.857181978956005,2.9833333333333267,1.3757963267948918,8.828065844293757,3.281049426775856,,2.9833333333333267,0.0
3.5,3.5049627046144014,-7.604523992652267,2.583333333333327,1.3607963267948922,8.581694050369466,3.52947670525659,,2.583333333333327,-0.015000000000000003
3.6,3.5536742603465,-7.391693945942215,2.183333333333327,1.3457963267948925,8.373383349373292,3.7612985723784584,,2.183333333333327,-0.015000000000000003
3.7,3.596064562059339,-7.218472007093604,1.783333333333327,1.3307963267948928,8.20156937050026,3.9694493877977157,,1.783333333333327,-0.015000000000000003
3.8000000000000003,3.634958009488522,-7.085718811809331,1.383333333333327,1.2857963267948929,8.064615207912464,4.147548027864253,,1.383333333333327,-0.045
