t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_omega
10.1,-0.098988336595448,31.4105992617864,8.75,1.5707963267949,30.5357597083681,4.6774200055386,Inf,8.75,0
10.2,-0.0989883365954488,32.3105992617864,9,1.5707963267949,31.410755238856,4.52150264977648,Inf,9,0
10.3,-0.0989883365954496,33.2355992617864,9.25,1.5707963267949,32.3107508941921,4.37079444924466,Inf,9.25,0
10.4,-0.0989883365954504,34.1855992617864,9.5,1.5707963267949,33.2357466740382,4.22522962357533,Inf,9.5,0
10.5,-0.0989883365954512,35.1605992617864,9.75,1.5707963267949,34.1857425775459,4.08472499129202,Inf,9.75,0
10.6,-0.098988336595452,36.1605992617864,10,1.5707963267949,35.1607386034298,3.94918298062268,Inf,10,0
10.7,-0.0989883365954528,37.1855992617864,10.25,1.5707963267949,36.1607347500337,3.81849431642964,Inf,10.25,0
10.8,-0.0989883365954537,38.2355992617864,10.5,1.5707963267949,37.1857310153902,3.69254040267684,Inf,10.5,0
10.9,-0.0989883365954546,39.3105992617864,10.75,1.5707963267949,38.2357273972747,3.57119542169357,Inf,10.75,0
11,-0.0989883365954555,40.4105992617864,11,1.5707963267949,39.3107238932527,3.45432817240709,Inf,11,0
11.1,-0.0989883365954564,41.5355992617864,11.25,1.5707963267949,40.410720500722,3.34180366990832,Inf,11.25,0
11.2,-0.0989883365954574,42.6855992617864,11.5,1.5707963267949,41.5357172169507,3.23348452835804,Inf,11.5,0
11.3,-0.0989883365954584,43.8605992617864,11.75,1.5707963267949,42.6857140391092,3.12923214848191,Inf,11.75,0
11.4,-0.0989883365954594,45.0605992617864,12,1.5707963267949,43.8607109642993,3.02890772985973,Inf,12,0
11.5,-0.0989883365954604,46.2855992617864,12.25,1.5707963267949,45.0607079895788,2.93237312698482,Inf,12.25,0
11.6,-0.0989883365954614,47.5355992617864,12.5,1.5707963267949,46.2857051119832,2.83949156673,Inf,12.5,0
11.7,-0.0989883365954625,48.8105992617864,12.75,1.5707963267949,47.5357023285439,2.75012824346601,Inf,12.75,0
11.8,-0.0989883365954635,50.1105992617864,13,1.5707963267949,48.810699636304,2.66415080668376,Inf,13,0
11.9,-0.0989883365954646,51.4355992617864,13.25,1.5707963267949,50.1106970323317,2.58142975460489,Inf,13.25,0
12,-0.0989883365954657,52.7855992617864,13.5,1.5707963267949,51.4356945137311,2.5018387459519,Inf,13.5,0
12.1,-0.0989883365954669,54.1605992617864,13.75,1.5707963267949,52.785692077652,2.4252548408046,Inf,13.75,0
12.2,-0.098988336595468,55.5605992617864,14,1.5707963267949,54.160689721297,2.35155868030508,Inf,14,0
12.3,-0.0989883365954692,56.9855992617864,14.25,1.5707963267949,55.5606874419279,2.2806346138941,Inf,14.25,0
12.4,-0.0989883365954704,58.4355992617864,14.5,1.5707963267949,56.9856852368706,2.21237078176981,Inf,14.5,0
12.5,-0.0989883365954716,59.9105992617864,14.75,1.5707963267949,58.4356831035188,2.14665915935477,Inf,14.75,0
12.6,-0.0989883365954729,61.4105992617864,15,1.5707963267949,59.9106810393368,2.08339556973675,Inf,15,0
12.7,-0.0989883365954741,62.9139325951198,15.0333333333333,1.5707963267949,61.4106790418613,2.0224796693085,Inf,15.0333333333333,0
12.8,-0.0989883365954754,64.4205992617864,15.0666666666667,1.5707963267949,62.9140104688459,1.96462650913121,Inf,15.0666666666667,0
12.9,-0.0989883365954766,65.9305992617864,15.1,1.5707963267949,64.4206753142068,1.90961807320001,Inf,15.1,0
13,-0.0989883365954779,67.4330992617864,15.025,1.5707963267949,65.9306735723901,1.85725625166778,Inf,15.025,0
13.1,-0.0989883365954791,68.9389325951198,15.0583333333333,1.5707963267949,67.4331719166518,1.8077090736982,Inf,15.0583333333333,0
13.2,-0.0989883365954804,70.4480992617864,15.0916666666667,1.5707963267949,68.9390036629864,1.76043032515558,Inf,15.0916666666667,0
13.3,-0.0989883365954816,71.9497659284531,15.0166666666667,1.5707963267949,70.448168807211,1.71527277139351,Inf,15.0166666666667,0
13.4,-0.0989883365954828,73.4547659284531,15.05,1.5707963267949,71.9498340223935,1.67240357946228,Inf,15.05,0
13.5,-0.0989883365954841,74.9630992617864,15.0833333333333,1.5707963267949,73.4548326272316,1.63136971565064,Inf,15.0833333333333,0
13.6,-0.0989883365954853,76.4639325951198,15.0083333333333,1.5707963267949,74.9631646185193,1.59205970081564,Inf,15.0083333333333,0
13.7,-0.0989883365954866,77.9680992617864,15.0416666666667,1.5707963267949,76.4639966690324,1.55463503618467,Inf,15.0416666666667,0
13.8,-0.0989883365954878,79.4755992617864,15.075,1.5707963267949,77.9681620995811,1.51871431936979,Inf,15.075,0
13.9,-0.0989883365954891,80.9755992617864,15,1.5707963267949,79.4756609076694,1.48421175316239,Inf,15,0
14,-0.0989883365954903,82.4789325951197,15.0333333333333,1.5707963267949,80.9756597657358,1.45128080051009,Inf,15.0333333333333,0
14.1,-0.0989883365954916,83.9855992617864,15.0666666666667,1.5707963267949,82.4789919962719,1.41959620778548,Inf,15.0666666666667,0
14.2,-0.0989883365954928,85.4847659284531,14.9916666666667,1.5707963267949,83.9856575973074,1.38909098132731,Inf,14.9916666666667,0
14.3,-0.098988336595494,86.9872659284531,15.025,1.5707963267949,85.4848232409309,1.35990954637072,Inf,15.025,0
14.4,-0.0989883365954953,88.4930992617864,15.0583333333333,1.5707963267949,86.9873222509935,1.33177141689471,Inf,15.0583333333333,0
14.5,-0.0989883365954965,90.0022659284531,15.0916666666667,1.5707963267949,88.493154625921,1.30462360306106,Inf,15.0916666666667,0
14.6,-0.0989883365954978,91.5039325951197,15.0166666666667,1.5707963267949,90.0023203642371,1.27841658655053,Inf,15.0166666666667,0
14.7,-0.098988336595499,93.0089325951197,15.05,1.5707963267949,91.5039861375612,1.25328207436048,Inf,15.05,0
14.8,-0.0989883365955003,94.5172659284531,15.0833333333333,1.5707963267949,93.0089852711785,1.22898605933956,Inf,15.0833333333333,0
14.9,-0.0989883365955015,96.0180992617864,15.0083333333333,1.5707963267949,94.5173177638929,1.20548879443463,Inf,15.0083333333333,0
15,-0.0989883365955028,97.5222659284531,15.0416666666667,1.5707963267949,96.0181502870007,1.18291310083199,Inf,15.0416666666667,0
15.1,-0.098988336595504,99.0297659284531,15.075,1.5707963267949,97.5223161666636,1.16105297437435,Inf,15.075,0
15.2,-0.0989883365955052,100.529765928453,15,1.5707963267949,99.029815401903,1.1398761863359,Inf,15,0
